  20 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 1999-09-01  |  30.583159 |  -92.0310145 | 010100002031BF0D00A6857BB55D8A63C1E12D4CF4B54D4B41 |     1 |
  21 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1100000 | 2001-06-01  | 41.9855635 |  -84.9763261 | 010100002031BF0D0060DC3A2BE80A62C1C8A0FB4AE8AD5341 |     1 |
  22 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 2001-09-01  | 38.0101388 |  -91.6270914 | 010100002031BF0D008A600A25697463C1EC7ACB8B7E795141 |     1 |
  23 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Walmart's 9th distribution center was originally built to 700,000 sq ft.                                                                                                                                                                                 | 1000000 | 1986-08-01  | 31.6004617 |  -90.4234269 | 010100002031BF0D003847D33AFC3263C1746E4A4301504C41 |     1 |
  24 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 1997-09-01  |   34.93673 |   -78.900029 | 010100002031BF0D00CECAA8E1A0C060C1B3998729CBB34F41 |     1 |
  25 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 2002-09-01  | 35.2923513 |  -81.5356463 | 010100002031BF0D001D6F1554E34F61C1933D547528095041 |     1 |
  26 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1100000 | 1996-09-01  | 43.0262715 |  -71.1585201 | 010100002031BF0D00B2D7478EAC375EC151BB83DF60475441 |     1 |
  27 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 1994-03-01  |  43.172271 |   -75.311962 | 010100002031BF0D003DBEAB5032FB5FC107938B871D5D5441 |     1 |
  28 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1100000 | 1992-03-01  |  39.896871 |  -83.1019589 | 010100002031BF0D00091EF57706A561C10001BBC945815241 |     1 |
  29 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1175000 | 1997-01-01  | 45.8097637 | -119.2556938 | 010100002031BF0D00F0DA74632B5269C17735F0FC26EF5541 |     1 |
  30 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1119245 | 2002-02-01  | 41.1605665 |  -75.4050018 | 010100002031BF0D005EA2EACCA70260C14329268705365341 |     1 |
  31 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1190000 | 1993-09-01  | 41.0262397 |  -78.3159411 | 010100002031BF0D00135CE555E1A060C1D8D63232A5225341 |     1 |
  32 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 1997-04-01  | 36.1678724 |  -83.0146526 | 010100002031BF0D00E8D0629B47A061C197939440687E5041 |     1 |
 151 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          |  420000 | 2000-05-01  | 32.7305149 |   -96.334325 | 010100002031BF0D00D4402800467464C1A696C35A42724D41 |     1 |
  33 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Originally built to 984,000 sq ft in 1988 and later expanded in 1998. Also services as an electronics repairs DC.                                                                                                                                        | 1204000 | 1988-08-01  | 29.7176673 |  -98.0893808 | 010100002031BF0D00FD42887DABD364C1AADE59FE16744A41 |     1 |
  34 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 1996-01-01  | 31.7621153 |  -95.6307891 | 010100002031BF0D002A8CE557084E64C14BDB88744E794C41 |     1 |
  35 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Originally built to 700,000 sq ft and later expanded in 1998.                                                                                                                                                                                            | 1200000 | 1986-09-01  | 34.2106909 | -101.7308204 | 010100002031BF0D003043FFE3999965C1990AD2EF13F44E41 |     1 |
  36 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 2001-08-01  | 33.3985821 |  -97.1718166 | 010100002031BF0D005B7B96A4CBA164C12693A3AE941F4E41 |     1 |
  37 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 2005-01-01  | 29.7400598 |  -96.1810466 | 010100002031BF0D00660D3524F16B64C1287F0743B2794A41 |     1 |
  38 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1250000 | 2005-07-01  |  40.599598 |   -112.42187 | 010100002031BF0D00AE53512AB7DE67C1C9DA7D295DE55241 |     1 |
  39 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 2005-01-01  | 38.3570713 |  -78.9408615 | 010100002031BF0D00C5A62810D9C260C11F1BBCE279A95141 |     1 |
  40 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 1991-12-01  |  37.194365 |   -77.537909 | 010100002031BF0D00DF798111977660C19A7F06608E095141 |     1 |
  41 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 2007-03-01  | 43.5102505 |  -88.7948826 | 010100002031BF0D0077EEB62377DA62C1055FE19FA28F5441 |     1 |
